n,seed,bw,lifo_err,fifo_err,delta_err,wmin,wmax
20,4,78,1,1,0,1,100
20,4,79,1,1,0,1,100
20,4,80,1,1,0,1,100
20,4,81,1,1,0,1,100
20,4,82,1,1,0,1,100
20,4,83,1,1,0,1,100
20,4,84,1,1,0,1,100
20,4,85,1,1,0,1,100
20,4,86,1,1,0,1,100
20,4,87,1,1,0,1,100
20,4,88,1,1,0,1,100
20,4,89,1,1,0,1,100
20,4,90,1,1,0,1,100
20,4,91,1,1,0,1,100
20,4,92,1,1,0,1,100
20,4,93,1,1,0,1,100
20,4,94,1,1,0,1,100
20,4,95,1,1,0,1,100
20,4,96,1,1,0,1,100
20,4,97,1,1,0,1,100
20,4,98,1,1,0,1,100
20,4,99,1,1,0,1,100
20,4,100,1,1,0,1,100
20,4,101,1,1,0,1,100
20,4,102,1,1,0,1,100
20,4,103,1,1,0,1,100
20,4,104,1,1,0,1,100
20,4,105,1,1,0,1,100
20,4,106,1,1,0,1,100
20,4,107,1,1,0,1,100
20,4,108,1,1,0,1,100
20,4,109,1,1,0,1,100
20,4,110,1,1,0,1,100
20,4,111,1,1,0,1,100
20,4,112,1,1,0,1,100
20,4,113,1,1,0,1,100
20,4,114,1,1,0,1,100
20,4,115,1,1,0,1,100
20,4,116,1,1,0,1,100
20,4,117,1,1,0,1,100
20,4,118,1,1,0,1,100
20,4,119,1,1,0,1,100
20,4,120,1,1,0,1,100
20,4,121,1,1,0,1,100
20,4,122,1,1,0,1,100
20,4,123,1,1,0,1,100
20,4,124,1,1,0,1,100
20,4,125,1,1,0,1,100
20,4,126,1,1,0,1,100
20,4,127,1,1,0,1,100
20,4,128,1,1,0,1,100
20,4,129,1,1,0,1,100
20,4,130,1,1,0,1,100
20,4,131,1,1,0,1,100
20,4,132,1,1,0,1,100
20,4,133,1,1,0,1,100
20,4,134,1,1,0,1,100
20,4,135,1,1,0,1,100
20,4,136,1,1,0,1,100
20,4,137,1,1,0,1,100
20,4,138,1,1,0,1,100
20,4,139,1,1,0,1,100
20,4,140,1,1,0,1,100
20,4,141,1,1,0,1,100
20,4,142,1,1,0,1,100
20,4,143,1,1,0,1,100
20,4,144,1,1,0,1,100
20,4,145,1,1,0,1,100
20,4,146,1,1,0,1,100
20,4,147,1,1,0,1,100
20,4,148,1,1,0,1,100
20,4,149,1,1,0,1,100
20,4,150,1,1,0,1,100
20,5,2,0,0,0,2,99
20,5,3,0,0,0,2,99
20,5,4,0,0,0,2,99
20,5,5,0,0,0,2,99
20,5,6,0,0,0,2,99
20,5,7,0,0,0,2,99
20,5,8,0,0,0,2,99
20,5,9,0,0,0,2,99
20,5,10,0,0,0,2,99
20,5,11,0,0,0,2,99
20,5,12,0,0,0,2,99
20,5,13,0,0,0,2,99
20,5,14,0,0,0,2,99
20,5,15,0,0,0,2,99
20,5,16,0,0,0,2,99
20,5,17,0,0,0,2,99
20,5,18,0,0,0,2,99
20,5,19,1,0,0,2,99
20,5,20,1,0,0,2,99
20,5,21,1,0,0,2,99
20,5,22,0,0,0,2,99
20,5,23,1,0,0,2,99
20,5,24,1,0,0,2,99
